Age,Income,Credit_Score,Insurance
29,20463,382,0
38,47162,538,0
21,36354,549,0
26,31304,440,0
35,17522,454,0
22,24149,649,0
48,32781,584,0
31,27661,457,0
23,47766,609,0
22,16502,544,0
33,32402,362,0
22,39583,398,0
36,19575,469,0
44,44254,634,0
39,39109,490,0
23,32375,386,0
44,35971,309,0
26,38667,612,0
30,46347,582,0
49,44863,403,0
34,33132,433,0
43,48310,329,0
25,32164,489,0
27,42348,350,0
28,34583,323,0
27,45809,348,0
43,49595,645,0
28,35647,642,0
28,22223,359,0
24,33967,555,0
21,40016,596,0
37,32370,407,0
19,32080,318,0
23,40794,640,0
45,33397,437,0
30,17488,564,0
28,46018,440,0
50,17385,532,0
40,37855,318,0
27,41065,378,0
21,17863,416,0
46,49332,435,0
48,40032,423,0
30,35378,649,0
47,40072,510,0
20,49565,374,0
30,24251,649,0
23,27789,367,0
26,40485,442,0
29,20076,618,0
39,17684,329,0
26,31657,566,0
48,26647,457,0
22,17407,376,0
46,19976,510,0
37,16270,403,0
23,18863,405,0
31,33414,492,0
44,18649,409,0
23,48900,436,0
49,30616,418,0
50,27639,429,0
35,17068,586,0
36,42294,415,0
38,42493,386,0
23,29893,327,0
47,19241,334,0
31,34349,365,0
25,48989,528,0
36,28682,581,0
30,34043,443,0
37,20976,314,0
50,39572,623,0
33,16812,329,0
47,41010,610,0
26,33306,359,0
23,21461,522,0
29,40552,632,0
41,23156,597,0
24,44783,350,0
22,43698,489,0
22,45180,381,0
27,25711,603,0
30,47370,303,0
18,42197,457,0
26,34592,380,0
41,23673,432,0
21,46133,635,0
39,47678,328,0
30,46816,321,0
46,27632,521,0
20,29700,595,0
37,31937,649,0
42,40140,348,0
46,24355,390,0
41,39284,476,0
49,19905,501,0
24,29822,583,0
29,21945,420,0
46,16057,364,0
20,16059,516,0
27,25644,508,0
20,17219,307,0
43,42016,620,0
47,36051,628,0
18,48833,404,0
50,26299,485,0
23,47826,342,0
26,17933,371,0
26,17479,599,0
22,40347,319,0
38,39495,561,0
42,43756,452,0
50,38091,611,0
23,30387,534,0
18,31499,324,0
23,28968,328,0
20,40453,309,0
19,31994,466,0
29,24268,519,0
41,46088,496,0
46,46727,436,0
28,48793,541,0
35,31745,424,0
25,46047,554,0
33,32371,617,0
34,17059,464,0
46,25629,566,0
39,49805,427,0
47,33104,412,0
38,24457,541,0
33,28924,347,0
25,23566,562,0
34,28646,495,0
41,39126,399,0
19,25560,559,0
31,41528,483,0
34,29635,448,0
40,32625,337,0
24,41535,649,0
45,15011,598,0
21,31628,309,0
21,36442,301,0
36,43886,603,0
32,19297,370,0
19,37299,523,0
50,35118,418,0
41,30941,569,0
24,47670,600,0
35,20704,398,0
21,34501,392,0
42,37195,507,0
30,27302,504,0
22,46406,541,0
18,30490,556,0
24,17829,420,0
26,33372,315,0
46,37181,535,0
19,24214,478,0
49,30919,489,0
32,41362,559,0
31,27724,428,0
24,21386,480,0
39,16504,505,0
37,27390,502,0
23,26383,531,0
47,30872,626,0
29,15699,606,0
39,35362,546,0
18,24524,326,0
46,45903,390,0
33,21478,480,0
47,17818,441,0
32,48989,319,0
35,20973,382,0
23,38926,603,0
22,31382,375,0
39,24273,362,0
29,19768,464,0
25,38422,576,0
21,37222,647,0
32,16670,331,0
24,35956,596,0
38,15284,374,0
28,20561,537,0
29,31676,306,0
28,21153,619,0
27,40487,551,0
47,22240,301,0
50,48179,370,0
38,15303,374,0
32,33328,379,0
48,42755,602,0
42,21801,492,0
18,29056,616,0
44,20452,437,0
31,16234,634,0
47,35112,542,0
30,24491,491,0
43,17703,435,0
45,23788,358,0
20,15883,573,0
48,40055,306,0
45,19162,573,0
38,49635,377,0
48,25271,566,0
23,27717,453,0
46,17672,611,0
21,37886,616,0
20,16657,612,0
23,43376,498,0
48,20666,333,0
35,21186,445,0
26,49390,343,0
30,16408,620,0
44,29159,535,0
21,17369,311,0
35,33070,550,0
19,35367,325,0
36,49975,341,0
40,31446,442,0
37,44107,412,0
32,28070,403,0
45,19815,550,0
50,20984,349,0
31,46549,524,0
47,22700,354,0
44,47402,594,0
39,28997,419,0
47,38170,370,0
34,24612,440,0
45,40414,341,0
28,48976,347,0
24,43880,500,0
25,18033,624,0
35,22218,555,0
20,46109,516,0
37,33450,476,0
23,19250,531,0
30,17593,505,0
30,35622,383,0
47,28382,466,0
47,28580,337,0
44,15362,530,0
37,25163,645,0
20,40516,446,0
29,46828,530,0
28,19829,646,0
48,46187,623,0
27,44205,644,0
40,31849,576,0
37,15185,526,0
29,18526,415,0
42,36716,350,0
33,42659,489,0
38,33239,408,0
40,26933,487,0
32,30127,439,0
24,47867,439,0
37,39977,571,0
32,45972,553,0
21,42566,434,0
47,38613,481,0
34,35403,626,0
43,39205,622,0
41,41120,459,0
35,35902,381,0
20,44188,479,0
28,39447,628,0
27,48397,415,0
22,23435,633,0
19,18600,510,0
37,26334,342,0
19,23591,426,0
46,24498,650,0
37,23804,568,0
35,33446,591,0
31,22635,612,0
42,27361,469,0
28,25085,448,0
18,21123,601,0
36,29604,510,0
46,34596,555,0
22,32674,456,0
31,44830,477,0
34,40052,548,0
36,31758,554,0
49,15210,573,0
20,25066,646,0
49,25741,594,0
50,20634,395,0
27,23517,390,0
26,16170,583,0
49,41954,467,0
28,36570,574,0
49,32683,368,0
48,20928,410,0
42,28637,639,0
36,38155,645,0
32,20906,412,0
41,35320,555,0
39,38611,399,0
40,37982,471,0
49,37873,494,0
42,15412,468,0
30,32553,625,0
27,28494,571,0
42,28057,582,0
21,20911,493,0
49,22049,438,0
49,49927,387,0
44,38613,310,0
49,44872,522,0
33,37649,537,0
27,30277,628,0
50,23832,514,0
40,26980,385,0
42,38090,599,0
24,27061,640,0
35,21919,593,0
28,30134,509,0
49,38820,342,0
21,46942,646,0
36,18004,438,0
38,32782,521,0
29,35295,459,0
37,20144,517,0
32,27273,503,0
34,25642,582,0
43,46343,468,0
49,24307,490,0
46,26812,513,0
25,33188,579,0
49,46790,498,0
24,19640,330,0
42,35454,336,0
45,43968,633,0
29,34454,355,0
24,38435,431,0
46,18687,440,0
34,37218,608,0
24,17819,388,0
18,35668,445,0
50,18048,455,0
21,21689,587,0
22,22904,406,0
20,38872,608,0
47,38867,394,0
30,46547,384,0
25,43886,326,0
35,42685,578,0
41,25991,551,0
18,25717,325,0
27,37337,335,0
49,19553,481,0
28,15355,355,0
37,19704,436,0
38,43560,524,0
27,49803,439,0
21,41091,300,0
47,22094,513,0
43,42815,392,0
38,46180,559,0
20,22003,301,0
50,39067,302,0
37,49048,470,0
37,17300,558,0
28,28103,401,0
30,19590,591,0
26,26915,326,0
40,46521,548,0
24,49625,480,0
40,42834,568,0
37,22688,545,0
20,32242,436,0
42,32946,501,0
35,47730,403,0
19,37711,434,0
42,43026,489,0
25,15613,403,0
19,35713,349,0
28,35333,412,0
37,16988,590,0
32,31999,486,0
34,44983,622,0
21,21952,407,0
43,20911,380,0
41,22693,553,0
18,17307,593,0
31,37172,595,0
